,Date,adj_close,close,low,high,open,volume
1493,2021-06-10,6.136998176574707,6.136998176574707,5.576114177703857,6.4758172035217285,6.02152681350708,308052097.0
1494,2021-06-11,5.551538944244385,5.551538944244385,5.45743989944458,6.345812797546387,6.155515193939209,195664540.0
1495,2021-06-12,5.497508049011231,5.497508049011231,5.172873020172119,5.8714599609375,5.564881801605225,176616812.0
1496,2021-06-13,6.072099208831787,6.072099208831787,5.35453987121582,6.129903793334961,5.500347137451172,130884110.0
1497,2021-06-14,6.03755521774292,6.03755521774292,5.825899124145508,6.333209037780762,6.049759864807129,134462139.0
1498,2021-06-15,6.58910608291626,6.58910608291626,6.142807960510254,6.858712196350098,6.331958770751953,204472543.0
1499,2021-06-16,6.174939155578613,6.174939155578613,5.971930027008057,6.583996772766113,6.583996772766113,166808855.0
1500,2021-06-17,6.154644012451172,6.154644012451172,6.048329830169678,6.422601222991943,6.169561862945557,109323682.0
1501,2021-06-18,5.917374134063721,5.917374134063721,5.702287197113037,6.5636091232299805,6.162753105163574,189653850.0
1502,2021-06-19,5.763191223144531,5.763191223144531,5.670280933380127,6.04964017868042,5.957265853881836,87385336.0
1503,2021-06-20,5.891520023345947,5.891520023345947,5.384513854980469,5.903253078460693,5.741695880889893,100160797.0
1504,2021-06-21,4.842235088348389,4.842235088348389,4.783134937286377,5.908848762512207,5.867648124694824,168231734.0
1505,2021-06-22,4.711923122406006,4.711923122406006,4.5547308921813965,5.4664812088012695,4.838150978088379,232338703.0
1506,2021-06-23,5.252572059631348,5.252572059631348,4.621663093566895,5.759748935699463,4.7288689613342285,251455354.0
1507,2021-06-24,5.454391956329346,5.454391956329346,5.007866859436035,5.593686103820801,5.194718837738037,128940722.0
1508,2021-06-25,5.06310510635376,5.06310510635376,4.857170104980469,5.588769912719727,5.476600170135498,127850189.0
1509,2021-06-26,5.201917171478272,5.201917171478272,4.899127006530762,5.290133953094482,5.061682224273682,90911214.0
1510,2021-06-27,5.400850772857666,5.400850772857666,5.078514099121094,5.444174766540527,5.207405090332031,61395305.0
1511,2021-06-28,5.529632091522217,5.529632091522217,5.206736087799072,5.674505233764648,5.411394119262695,97981847.0
1512,2021-06-29,5.986422061920166,5.986422061920166,5.405177116394043,6.323178768157959,5.534818172454834,162411527.0
1513,2021-06-30,6.522355079650879,6.522355079650879,5.686498165130615,6.66144609451294,6.016992092132568,203181106.0
1514,2021-07-01,5.921539783477783,5.921539783477783,5.730963230133057,6.562956809997559,6.562956809997559,147730003.0
