,Date,Cryptocurrency,adj_close,close,high,low,open,volume
291,2018-02-11,ADA-USD,0.3697690069675445,331944000.0,331944000.0,331944000.0,331944000.0,331944000.0
292,2018-02-12,ADA-USD,0.384315013885498,243039008.0,243039008.0,243039008.0,243039008.0,243039008.0
293,2018-02-13,ADA-USD,0.3733139932155609,225695008.0,225695008.0,225695008.0,225695008.0,225695008.0
294,2018-02-14,ADA-USD,0.3969079852104187,299008992.0,299008992.0,299008992.0,299008992.0,299008992.0
295,2018-02-15,ADA-USD,0.4093680083751678,348342016.0,348342016.0,348342016.0,348342016.0,348342016.0
296,2018-02-16,ADA-USD,0.4038099944591522,192420000.0,192420000.0,192420000.0,192420000.0,192420000.0
297,2018-02-17,ADA-USD,0.4198830127716064,341415008.0,341415008.0,341415008.0,341415008.0,341415008.0
298,2018-02-18,ADA-USD,0.3856180012226105,251314000.0,251314000.0,251314000.0,251314000.0,251314000.0
299,2018-02-19,ADA-USD,0.3914720118045807,169966000.0,169966000.0,169966000.0,169966000.0,169966000.0
300,2018-02-20,ADA-USD,0.3787789940834045,281249984.0,281249984.0,281249984.0,281249984.0,281249984.0
301,2018-02-21,ADA-USD,0.3644410073757171,242378000.0,242378000.0,242378000.0,242378000.0,242378000.0
302,2018-02-22,ADA-USD,0.3378709852695465,208342000.0,208342000.0,208342000.0,208342000.0,208342000.0
303,2018-02-23,ADA-USD,0.3452579975128174,222508992.0,222508992.0,222508992.0,222508992.0,222508992.0
304,2018-02-24,ADA-USD,0.3229660093784332,133524000.0,133524000.0,133524000.0,133524000.0,133524000.0
305,2018-02-25,ADA-USD,0.3440330028533935,247808000.0,247808000.0,247808000.0,247808000.0,247808000.0
306,2018-02-26,ADA-USD,0.3383350074291229,201812992.0,201812992.0,201812992.0,201812992.0,201812992.0
307,2018-02-27,ADA-USD,0.3355360031127929,106757000.0,106757000.0,106757000.0,106757000.0,106757000.0
308,2018-02-28,ADA-USD,0.3125810027122497,114757000.0,114757000.0,114757000.0,114757000.0,114757000.0
309,2018-03-01,ADA-USD,0.3043969869613647,184691008.0,184691008.0,184691008.0,184691008.0,184691008.0
310,2018-03-02,ADA-USD,0.293503999710083,107240000.0,107240000.0,107240000.0,107240000.0,107240000.0
311,2018-03-03,ADA-USD,0.297105997800827,115320000.0,115320000.0,115320000.0,115320000.0,115320000.0
312,2018-03-04,ADA-USD,0.3007870018482208,94436000.0,94436000.0,94436000.0,94436000.0,94436000.0
313,2018-03-05,ADA-USD,0.2976219952106476,202675008.0,202675008.0,202675008.0,202675008.0,202675008.0
314,2018-03-06,ADA-USD,0.2853569984436035,110305000.0,110305000.0,110305000.0,110305000.0,110305000.0
315,2018-03-07,ADA-USD,0.2472810000181198,190792992.0,190792992.0,190792992.0,190792992.0,190792992.0
316,2018-03-08,ADA-USD,0.2217430025339126,167808992.0,167808992.0,167808992.0,167808992.0,167808992.0
317,2018-03-09,ADA-USD,0.2222069948911667,246848992.0,246848992.0,246848992.0,246848992.0,246848992.0
318,2018-03-10,ADA-USD,0.2098730057477951,129138000.0,129138000.0,129138000.0,129138000.0,129138000.0
319,2018-03-11,ADA-USD,0.2234980016946792,161362000.0,161362000.0,161362000.0,161362000.0,161362000.0
320,2018-03-12,ADA-USD,0.2237219959497451,184250000.0,184250000.0,184250000.0,184250000.0,184250000.0
321,2018-03-13,ADA-USD,0.2230260074138641,98868704.0,98868704.0,98868704.0,98868704.0,98868704.0
322,2018-03-14,ADA-USD,0.1995619982481002,144156000.0,144156000.0,144156000.0,144156000.0,144156000.0
323,2018-03-15,ADA-USD,0.185708999633789,204232992.0,204232992.0,204232992.0,204232992.0,204232992.0
324,2018-03-16,ADA-USD,0.1788779944181442,97455296.0,97455296.0,97455296.0,97455296.0,97455296.0
325,2018-03-17,ADA-USD,0.1547629982233047,81096600.0,81096600.0,81096600.0,81096600.0,81096600.0
326,2018-03-18,ADA-USD,0.1561550050973892,189688992.0,189688992.0,189688992.0,189688992.0,189688992.0
327,2018-03-19,ADA-USD,0.1976480036973953,321964000.0,321964000.0,321964000.0,321964000.0,321964000.0
328,2018-03-20,ADA-USD,0.2049469947814941,249683008.0,249683008.0,249683008.0,249683008.0,249683008.0
329,2018-03-21,ADA-USD,0.2131890058517456,257686000.0,257686000.0,257686000.0,257686000.0,257686000.0
330,2018-03-22,ADA-USD,0.2034810036420822,201540000.0,201540000.0,201540000.0,201540000.0,201540000.0
331,2018-03-23,ADA-USD,0.1892589926719665,148850000.0,148850000.0,148850000.0,148850000.0,148850000.0
332,2018-03-24,ADA-USD,0.1892009973526001,132660000.0,132660000.0,132660000.0,132660000.0,132660000.0
333,2018-03-25,ADA-USD,0.1846050024032592,59349400.0,59349400.0,59349400.0,59349400.0,59349400.0
334,2018-03-26,ADA-USD,0.1678059995174408,117497000.0,117497000.0,117497000.0,117497000.0,117497000.0
335,2018-03-27,ADA-USD,0.1549260020256042,107510000.0,107510000.0,107510000.0,107510000.0,107510000.0
336,2018-03-28,ADA-USD,0.1600580066442489,60260800.0,60260800.0,60260800.0,60260800.0,60260800.0
